nombre_cancion,anio,mes,reproducciones,likes
Punto Ciego,2015,Enero,4570,2513
Fragmentada,2015,Enero,3016,1482
Sombras II,2020,Mayo,1202,359
Mirada Fría,2025,Julio,2288,2032
Sombras del Ayer,2017,Octubre,536,2190
Ruido Blanco,2018,Febrero,1016,2798
Caída Libre,2016,Marzo,1902,3113
A Contrarreloj,2022,Julio,4182,2444
Latente,2025,Agosto,4169,2649
Tiempo Muerto,2017,Junio,3016,3075
Desfase,2024,Mayo,1156,537
Antes del Silencio,2018,Noviembre,3564,3702
Pulso,2019,Mayo,2477,4643
Lento Adiós,2021,Enero,3132,4435
Intermitente,2018,Abril,4084,893
Equilibrio,2015,Abril,3244,2191
Instinto,2023,Julio,582,957
Entre Sombras,2020,Noviembre,4164,3461
Gravedad,2022,Enero,4926,4272
Intermitente,2023,Enero,2645,4426
Oscuridad Total,2022,Junio,2820,3715
Lento Adiós,2025,Octubre,3829,1932
Horizonte,2019,Julio,2133,4460
Instinto,2024,Octubre,3584,4346
Pulso Final,2017,Mayo,1890,750
Desconexión,2025,Diciembre,1315,286
A Contraluz,2025,Agosto,4408,418
Reinicio,2025,Noviembre,844,3790
Espiral,2021,Enero,4281,1063
Alma Libre,2020,Noviembre,4432,2883
Noches de Neón,2023,Julio,1640,398
Recuerdos,2016,Enero,4819,4502
Caos,2018,Agosto,1102,1246
Renacer,2023,Junio,169,2035
Sin Mirar Atrás,2020,Junio,4,2214
Última Vez,2021,Abril,2981,1624
Ciudad Rota,2016,Junio,2658,4307
Destino Cruzado,2024,Mayo,1168,3322
Fuego Interno,2019,Febrero,4659,773
Sombras II,2024,Enero,1547,3736
Llama Azul,2024,Junio,1712,81
Entre Sombras,2015,Octubre,1823,2689
Vértice,2019,Septiembre,2680,4223
Antes del Silencio,2016,Enero,4617,4293
Último Latido,2019,Septiembre,1090,2573
Corazón Eléctrico,2021,Marzo,3671,3288
A Contraluz,2019,Mayo,1544,3546
Sin Filtro,2020,Mayo,2930,1129
Laberinto,2017,Septiembre,1415,4631
Gravedad,2016,Diciembre,1845,140
Destino Cruzado,2024,Julio,203,1431
Espiral,2020,Diciembre,2668,4920
Distancia,2019,Noviembre,2849,4621
Entre Sombras,2015,Noviembre,4523,4903
Cenizas,2024,Agosto,4224,1900
Reinicio,2020,Noviembre,38,4307
Niebla,2021,Octubre,3101,3395
Último Latido,2018,Diciembre,881,1831
Destino Cruzado,2015,Mayo,4858,3863
Horizonte,2019,Noviembre,2658,1450
Recuerdos,2019,Noviembre,4450,1950
Al Límite,2017,Diciembre,4677,3423
A Contrarreloj,2016,Septiembre,975,2716
Eco Final,2017,Marzo,2084,2704
Fragmentos,2025,Junio,4699,2487
Despierta,2025,Enero,4635,4910
Corazón Eléctrico,2023,Diciembre,4030,3980
Despierta,2020,Agosto,4934,4682
Reinicio,2019,Septiembre,2829,2889
Punto Final,2019,Junio,4345,433
Pulso Final,2023,Abril,1135,3111
Espiral,2020,Abril,1230,3138
Llama Azul,2024,Febrero,483,3817
Retroceso,2023,Abril,3287,587
Distancia,2020,Marzo,123,3604
Reinicio,2023,Abril,2996,589
A Contraluz,2024,Agosto,4572,4102
Punto Final,2016,Julio,1367,2372
Ausencia,2022,Julio,1861,2868
Tensión,2017,Abril,267,1999
Lluvia de Estrellas,2018,Agosto,1202,4485
Despierta,2019,Julio,709,2913
Despierta,2021,Octubre,1773,2350
Sutil,2017,Febrero,1423,2280
Sutil,2019,Junio,4799,1592
Ecos,2019,Marzo,1494,4782
Contratiempo,2016,Mayo,4796,4575
Resonancia,2023,Enero,2254,4350
Llama Azul,2024,Febrero,2389,89
Sin Control,2018,Mayo,3209,3274
Noches de Neón,2020,Julio,3134,1392
A Media Luz,2017,Enero,3504,909
Entre Sombras,2021,Diciembre,3033,876
Punto Final,2023,Mayo,3599,2841
Destino Cruzado,2019,Febrero,4704,222
Eterno,2022,Diciembre,1087,4169
Mil Vidas,2015,Agosto,854,4528
Horizonte Rojo,2016,Diciembre,4358,3767
Eco Final,2015,Septiembre,2966,1227
Callejón,2016,Febrero,2532,518
Lento Adiós,2019,Junio,3296,440
Nostalgia,2017,Julio,31,1264
Mirada Fría,2023,Octubre,3313,4382
Caída Libre,2015,Enero,1549,3224
Desfase,2015,Marzo,4163,4481
Corazón Eléctrico,2015,Septiembre,3435,291
Espiral,2018,Marzo,3464,4908
Latente,2023,Mayo,2248,1051
Último Latido,2019,Julio,3780,3009
Ritmo Urbano,2023,Septiembre,572,4018
Vértigo,2018,Abril,2473,3887
Recuerdos,2017,Junio,2756,88
Mirada Fría,2025,Marzo,4875,4681
Desfase,2020,Marzo,2032,1908
Eco Final,2023,Abril,39,2339
Voces,2022,Diciembre,2690,4392
Mirada Fría,2024,Marzo,3391,94
Último Latido,2018,Marzo,916,3200
Despierto,2015,Julio,1864,3758
Resonancia,2015,Agosto,4463,4480
Inercia,2016,Agosto,2391,538
Colisión,2017,Octubre,907,1837
Equilibrio,2024,Marzo,4484,875
Ruido Blanco,2021,Septiembre,3333,4598
Ritmo Urbano,2024,Abril,4407,4690
Corazón Eléctrico,2017,Enero,324,4092
Desvelo,2016,Enero,2628,1695
Oscuridad Total,2021,Noviembre,4938,763
Punto Final,2020,Julio,4546,4860
Ritmo Urbano,2020,Septiembre,3861,57
Latente,2024,Septiembre,1511,2938
Ausencia,2019,Mayo,2218,4622
Tensión,2024,Noviembre,3890,1800
Resonancia,2025,Agosto,3491,849
Latente,2018,Septiembre,3961,2936
Reinicio,2021,Febrero,3640,1637
Intermitente,2019,Noviembre,3920,1206
Espiral,2019,Enero,4516,2570
Sombras II,2023,Enero,4501,3411
Latidos,2023,Octubre,3861,2520
Caída Libre,2015,Abril,3585,783
Inercia,2024,Julio,122,3624
Gravedad,2021,Junio,2574,2616
Laberinto,2016,Julio,3053,3011
Ruido Blanco,2025,Septiembre,1170,1746
Cicatrices,2020,Noviembre,1673,3302
Ritmo Urbano,2017,Septiembre,2453,4128
Fuego Interno,2019,Junio,3623,448
Gravedad,2021,Septiembre,4221,2069
Sutil,2023,Noviembre,2607,4792
Nostalgia,2021,Febrero,3671,4434
Sutil,2016,Diciembre,3921,431
Horizonte Rojo,2016,Abril,3939,3916
Laberinto,2016,Septiembre,1853,3932
Niebla,2016,Septiembre,2935,1963
Marea Alta,2022,Noviembre,1440,1289
Mirada Fría,2022,Octubre,3656,789
Ausencia,2015,Mayo,2543,3985
Retroceso,2016,Diciembre,3180,3029
Retroceso,2025,Febrero,3563,4279
Pecado,2017,Enero,3662,1348
Marea Alta,2015,Diciembre,2103,3924
A Contraluz,2018,Mayo,1914,2798
Mil Vidas,2020,Febrero,2718,2557
Desvelo II,2017,Junio,2750,3552
Despierta,2023,Febrero,3033,83
Horizonte Rojo,2018,Enero,2956,3305
Contratiempo,2025,Abril,406,3659
Fragmentos,2018,Enero,4924,1408
Contratiempo,2019,Agosto,3994,203
Desorden,2024,Junio,3372,1268
Voces,2020,Mayo,2518,3004
Intermitente,2022,Septiembre,3666,2448
Eterno,2016,Enero,2775,904
Fuego Interno,2022,Febrero,4468,3265
Distancia,2021,Abril,2077,888
Despierto,2015,Diciembre,3222,2977
Cenizas,2019,Septiembre,3592,2790
Colisión,2016,Noviembre,3028,4913
Espiral,2015,Abril,4356,2567
Latente,2019,Diciembre,1757,2747
Contratiempo,2024,Marzo,4036,1739
Ritmo Urbano,2015,Febrero,4517,3550
Vértigo,2019,Enero,780,3227
A Contraluz,2023,Agosto,3514,1724
Tiempo Muerto,2023,Agosto,1752,1292
Fragmentos,2016,Julio,4982,23
Última Vez,2025,Septiembre,1151,1629
Cenizas,2018,Abril,454,4283
Lluvia de Estrellas,2018,Abril,3869,2224
Intermitente,2023,Febrero,3652,928
Mil Vidas,2022,Mayo,1934,2925
Antes del Silencio,2023,Mayo,1367,2189
Tensión,2016,Mayo,1507,609
Vértice,2019,Agosto,3813,3822
Latidos,2020,Abril,3899,1643
Mirada Fría,2025,Marzo,376,1189
Laberinto,2016,Marzo,4421,25
Oscuridad Total,2024,Agosto,3187,2407
Instante,2015,Diciembre,1850,810
Tensión,2021,Julio,2251,1113
Despierto,2022,Noviembre,4526,3419
Instante,2019,Diciembre,1832,3396
Ciudad Rota,2022,Junio,4881,899
Recuerdos,2019,Febrero,4137,2593
Pecado,2021,Noviembre,3662,2807
Equilibrio,2021,Enero,766,2525
Corazón Eléctrico,2021,Junio,3401,2675
Sin Filtro,2015,Junio,971,640
Llama Azul,2018,Octubre,3411,4004
Sin Filtro,2020,Diciembre,3009,2839
Equilibrio,2020,Abril,2374,1176
Fuego Interno,2018,Noviembre,3233,115
Antes del Silencio,2017,Marzo,2941,3705
Al Límite,2018,Agosto,4768,1430
Pulso Final,2019,Diciembre,532,4903
Reinicio,2024,Febrero,4148,1306
Pálpito,2025,Julio,2486,2693
Fantasmas,2022,Noviembre,1674,337
Distancia,2022,Enero,2250,1087
Instinto,2016,Febrero,3856,1817
Oscuridad Total,2021,Septiembre,458,4219
Antes del Silencio,2021,Mayo,3931,2759
Punto Final,2017,Enero,4133,1083
Repetición,2020,Febrero,1559,502
Sin Filtro,2020,Julio,1708,2418
Mirada Fría,2020,Julio,3299,4677
Última Vez,2023,Noviembre,628,4686
Voces,2016,Enero,2942,3626
Callejón,2016,Junio,2692,3465
Desconexión,2019,Abril,2848,3224
Horizonte,2021,Marzo,4195,2672
Fragmentos,2017,Mayo,1733,3923
Ruido Blanco,2021,Julio,2235,3848
Repetición,2024,Julio,1356,2401
Ritmo Urbano,2022,Junio,4738,2758
Pálpito,2025,Diciembre,3439,4864
Desfase,2021,Enero,4670,4731
Instante,2021,Noviembre,1619,1086
Niebla,2018,Marzo,250,386
Marea Alta,2021,Septiembre,1553,2578
Ausencia,2021,Agosto,2328,3206
Desvelo II,2021,Febrero,2375,2428
Punto Ciego,2016,Agosto,70,3153
Despierta,2016,Enero,2116,3859
Ausencia,2017,Agosto,1387,2356
Laberinto,2019,Noviembre,1113,905
Cicatrices,2015,Mayo,700,3639
Niebla,2017,Agosto,1998,743
Fragmentada,2015,Diciembre,2513,800
Último Latido,2018,Agosto,2213,2748
Vértice,2025,Octubre,2100,1131
Ecos,2019,Noviembre,3237,2
Sombras del Ayer,2018,Abril,239,4731
Sombras II,2017,Septiembre,4361,4585
Pálpito,2023,Septiembre,3100,80
Tiempo Muerto,2021,Abril,3074,1288
Laberinto,2021,Septiembre,2432,242
Última Vez,2023,Agosto,2273,581
Sin Mirar Atrás,2024,Agosto,619,3311
Lento Adiós,2015,Octubre,475,1328
Nostalgia,2019,Octubre,603,2766
Ritmo Urbano,2017,Octubre,4859,1074
Desvelo,2023,Diciembre,2639,3305
Caos,2015,Septiembre,4614,1087
Desconexión,2022,Junio,1331,4170
Mirada Fría,2018,Marzo,2139,250
Voces,2025,Abril,3041,4360
Repetición,2025,Marzo,3973,6
Niebla,2019,Abril,992,4279
Sin Control,2018,Enero,3143,4363
Contratiempo,2019,Mayo,224,1912
Sombras del Ayer,2021,Noviembre,3397,1958
Ruido Blanco,2018,Diciembre,1579,97
Pecado,2023,Enero,1421,3285
Ausencia,2020,Marzo,942,3818
Desvelo,2024,Octubre,3530,1000
Desorden,2025,Julio,1955,2166
Tensión,2022,Enero,655,3075
Cenizas,2019,Septiembre,2019,10
Al Límite,2015,Febrero,1769,2265
Desfase,2016,Junio,1719,997
Distancia,2021,Febrero,4878,119
Pulso Final,2019,Marzo,412,3990
Latente,2024,Junio,1882,308
Renacer,2023,Agosto,2842,1253
Laberinto,2020,Marzo,4987,1395
Después de Ti,2016,Septiembre,3921,1079
Pálpito,2019,Mayo,3144,3229
Alma Libre,2016,Abril,3814,4078
Sin Mirar Atrás,2020,Mayo,637,142
Destino Cruzado,2025,Mayo,920,2583
Tiempo Muerto,2015,Agosto,1295,2495
Después de Ti,2018,Noviembre,1345,1046
Tensión,2022,Agosto,837,2282
Llama Azul,2015,Julio,1552,740
Instinto,2015,Agosto,4787,692
Resonancia,2022,Mayo,2868,3550
A Contrarreloj,2021,Julio,1624,3604
Gravedad,2022,Agosto,1097,4959
Resonancia,2018,Octubre,2767,2715
Pulso Final,2019,Junio,632,3189
Horizonte,2018,Noviembre,1490,1905
Distancia,2018,Octubre,4723,4753
Ruido Blanco,2023,Abril,4978,4497
Mil Vidas,2019,Mayo,4589,502
Cenizas,2025,Enero,513,1587
Siluetas,2020,Febrero,1525,2140
Al Límite,2025,Septiembre,1386,4366
Oscuridad Total,2022,Agosto,3830,4287
Sombras II,2018,Noviembre,4058,1756
Distancia,2021,Noviembre,4483,2182
Gravedad,2019,Febrero,702,775
Marea Alta,2016,Febrero,3540,760
Contratiempo,2022,Mayo,2561,1557
Gravedad,2024,Septiembre,1603,4706
Contratiempo,2020,Marzo,4622,4152
Reinicio,2022,Septiembre,4133,2867
Ecos,2017,Abril,3494,3293
Tensión,2019,Septiembre,3309,2829
Claroscuro,2022,Agosto,3421,4117
Horizonte,2020,Septiembre,355,2139
Equilibrio,2025,Enero,1012,3991
Ciudad Rota,2022,Marzo,4644,2970
Gravedad,2023,Febrero,4779,2244
Sutil,2019,Noviembre,1026,4143
Sin Control,2020,Marzo,414,3203
Caída Libre,2025,Enero,3052,3343
Desvelo II,2021,Septiembre,3348,4795
Desorden,2023,Enero,4134,4256
Cenizas,2022,Marzo,3028,597
Despierto,2017,Mayo,1496,1837
Retroceso,2019,Abril,188,2599
Tiempo Muerto,2017,Enero,2315,4216
Fantasmas,2022,Noviembre,3332,1101
Repetición,2023,Diciembre,2911,1407
Latidos,2025,Septiembre,4793,835
A Contrarreloj,2017,Octubre,2372,3029
Lento Adiós,2023,Agosto,3756,2872
Ecos,2017,Julio,4075,725
Alma Libre,2025,Septiembre,765,224
Cenizas,2017,Febrero,2031,608
Vértice,2025,Noviembre,2022,3310
Caos,2020,Septiembre,4996,2365
Lento Adiós,2018,Octubre,735,3863
Recuerdos,2017,Agosto,3320,2526
Lluvia de Estrellas,2015,Febrero,2052,2298
Marea Alta,2025,Febrero,2155,4582
Punto Final,2022,Octubre,4291,1268
Después de Ti,2025,Noviembre,2477,3969
Después de Ti,2021,Marzo,1872,225
Fuego Interno,2023,Diciembre,3890,4189
Lluvia de Estrellas,2016,Diciembre,1832,1270
Callejón,2019,Agosto,4968,3929
Ecos,2016,Octubre,4295,4926
Callejón,2017,Diciembre,2766,767
Tiempo Muerto,2024,Febrero,4050,1241
Último Latido,2020,Febrero,728,2587
Laberinto,2023,Abril,1311,2649
Instinto,2021,Octubre,4244,4121
Fantasmas,2023,Enero,3896,2279
Sombras del Ayer,2023,Mayo,2993,3620
Pecado,2018,Junio,4489,2059
Recuerdos,2020,Julio,2110,1365
Renacer,2025,Agosto,2891,4676
Lluvia de Estrellas,2018,Mayo,2581,1129
Oscuridad Total,2020,Enero,2016,4690
Despierta,2020,Junio,273,3085
Recuerdos,2017,Febrero,1888,2472
Contratiempo,2016,Marzo,3412,1437
Renacer,2016,Octubre,982,1563
Lento Adiós,2023,Diciembre,4994,811
Pulso,2021,Diciembre,2964,256
Despierto,2025,Agosto,2850,4248
Sin Mirar Atrás,2017,Enero,2348,1236
Latente,2015,Febrero,2320,2914
Desvelo,2021,Mayo,3309,4519
Lento Adiós,2023,Agosto,379,3495
Distancia,2021,Mayo,2211,3710
Noches de Neón,2018,Octubre,1618,1462
Lento Adiós,2024,Marzo,1079,4828
Fuego Interno,2019,Septiembre,1202,3316
A Contraluz,2019,Septiembre,1647,2212
Sin Mirar Atrás,2018,Diciembre,3566,3136
A Contraluz,2022,Febrero,159,479
Destino Cruzado,2017,Agosto,968,4578
Lento Adiós,2019,Marzo,3716,2433
Mirada Fría,2016,Marzo,2312,1519
Vértice,2019,Marzo,946,841
Eco Final,2021,Mayo,1037,1419
Siluetas,2023,Agosto,2356,1535
Nostalgia,2023,Diciembre,2759,4233
Al Límite,2023,Marzo,572,3501
Renacer,2018,Mayo,2670,4437
Resonancia,2018,Mayo,2448,335
Fantasmas,2016,Junio,4412,4307
Punto Ciego,2018,Enero,4270,3197
Pulso,2024,Noviembre,2755,1484
Instante,2020,Julio,4723,2465
Despierta,2018,Enero,2492,327
Pecado,2021,Julio,1341,3474
Fuego Interno,2023,Enero,20,3368
Corazón Eléctrico,2016,Febrero,422,2207
Desfase,2025,Noviembre,698,4416
Mil Vidas,2018,Octubre,2515,1140
Punto Final,2018,Junio,11,1319
Oscuridad Total,2017,Septiembre,448,427
Después de Ti,2015,Marzo,3554,2767
Corazón Eléctrico,2021,Agosto,4585,3490
Eco Final,2020,Julio,4235,4466
Voces,2022,Agosto,2956,4418
Horizonte Rojo,2025,Agosto,2900,3225
Pálpito,2023,Abril,4537,2
A Contraluz,2016,Enero,2207,401
Contratiempo,2023,Mayo,1315,4998
Retroceso,2020,Mayo,4646,1941
Callejón,2017,Octubre,4138,1795
Alma Libre,2023,Abril,1473,1078
Sutil,2019,Junio,1508,4405
A Media Luz,2017,Junio,4744,2717
Último Latido,2019,Enero,2745,2889
Pálpito,2015,Septiembre,3420,4360
Fuego Interno,2024,Agosto,1435,2534
Fragmentada,2022,Junio,3397,4021
Reinicio,2018,Diciembre,2983,4091
Instinto,2016,Junio,1746,626
Fragmentos,2019,Abril,305,4128
Desvelo II,2023,Enero,2862,2138
Despierta,2019,Septiembre,3544,1641
Cenizas,2025,Febrero,1954,3864
Tensión,2017,Junio,184,3311
Tiempo Muerto,2023,Octubre,1939,3185
Punto Ciego,2017,Mayo,2957,1239
Latente,2022,Diciembre,1774,1023
Horizonte,2019,Diciembre,864,4313
Recuerdos,2021,Enero,3889,2710
Callejón,2024,Enero,67,756
Sutil,2022,Enero,3220,4560
Colisión,2018,Junio,2910,3164
Despierta,2016,Enero,2126,3146
Despierta,2017,Noviembre,217,462
Equilibrio,2021,Febrero,2656,2433
Última Vez,2015,Septiembre,1242,460
Voces,2021,Febrero,595,2297
Caída Libre,2021,Diciembre,760,3702
Gravedad,2024,Diciembre,214,4727
Entre Sombras,2018,Abril,2565,4310
Sutil,2024,Febrero,3924,4601
Alma Libre,2019,Febrero,2281,33
Al Límite,2016,Agosto,3344,516
Pulso,2020,Octubre,2483,2305
Eco Final,2017,Septiembre,2882,3724
Pulso Final,2015,Agosto,2864,95
Inercia,2023,Diciembre,803,1129
Oscuridad Total,2022,Febrero,4659,2712
Ausencia,2020,Enero,2356,4445
Ciudad Rota,2021,Julio,100,1868
Claroscuro,2015,Agosto,3261,1788
Equilibrio,2021,Abril,1497,792
Al Límite,2018,Abril,2662,1944
Marea Alta,2019,Agosto,2417,2321
Horizonte Rojo,2015,Enero,2889,4572
Cicatrices,2020,Marzo,1552,979
Corazón Eléctrico,2016,Agosto,3494,2470
Al Límite,2015,Abril,290,2673
Fantasmas,2023,Diciembre,252,2824
Punto Final,2023,Julio,1146,821
Antes del Silencio,2022,Diciembre,423,2942
Destino Cruzado,2019,Diciembre,4112,1519
Lento Adiós,2016,Julio,890,2527
Último Latido,2016,Enero,4284,2956
Sin Mirar Atrás,2020,Noviembre,1404,3699
Llama Azul,2023,Febrero,1251,2510
Desorden,2016,Septiembre,3251,39
Sin Control,2016,Septiembre,4818,4195
Laberinto,2025,Octubre,3917,580
Latidos,2018,Noviembre,4616,4188
Latente,2024,Febrero,2947,2600
Cicatrices,2025,Septiembre,4454,3098
Sin Mirar Atrás,2025,Octubre,4740,3556
Ritmo Urbano,2019,Julio,4491,582
Pulso,2021,Mayo,3142,4622
Pulso Final,2021,Noviembre,1487,935
Lento Adiós,2019,Marzo,3767,3326
Punto Final,2025,Diciembre,1117,3476
Vértice,2019,Septiembre,2873,2907
Despierta,2025,Abril,3401,3046
Fuego Interno,2015,Septiembre,3514,1013
Llama Azul,2023,Mayo,2893,3545
Cenizas,2023,Septiembre,4405,1621
Ruido Blanco,2025,Marzo,776,825
Desfase,2018,Febrero,3976,952
Ciudad Rota,2016,Diciembre,1837,4885
Sin Mirar Atrás,2025,Julio,1963,510
Desvelo,2024,Julio,154,2412
Vértigo,2022,Febrero,2189,4055
Resonancia,2015,Julio,1749,707
Fantasmas,2023,Diciembre,412,37
Horizonte Rojo,2022,Enero,4392,3299
Eterno,2017,Febrero,381,1347
Despierta,2022,Julio,2640,1098
Desvelo II,2017,Octubre,2496,4035
Siluetas,2017,Abril,2463,593
Última Vez,2020,Julio,3602,3692
Corazón Eléctrico,2015,Noviembre,4968,2892
Después de Ti,2017,Octubre,4222,4834
Sin Control,2017,Diciembre,1832,1112
Nostalgia,2018,Mayo,1005,1762
Mirada Fría,2016,Mayo,1020,163
Renacer,2015,Noviembre,4463,4233
Desfase,2019,Mayo,4035,767
Gravedad,2023,Noviembre,4675,122
Niebla,2024,Noviembre,248,2116
Punto Final,2017,Mayo,1011,4261
Llama Azul,2021,Junio,3877,172
Punto Ciego,2023,Septiembre,102,4878
Entre Sombras,2021,Abril,4353,4627
Ritmo Urbano,2025,Febrero,2635,534
Corazón Eléctrico,2017,Septiembre,349,4364
Sombras II,2020,Marzo,4198,1189
Sombras del Ayer,2025,Agosto,3737,4654
Cicatrices,2017,Junio,1638,2132
Caída Libre,2020,Julio,2862,2729
Ciudad Rota,2019,Octubre,325,4540
Al Límite,2016,Marzo,4500,3889
Distancia,2023,Enero,421,1535
Última Vez,2025,Noviembre,2629,607
Marea Alta,2023,Noviembre,3891,3465
Desvelo,2023,Mayo,4569,4295
Pálpito,2021,Abril,3805,3575
Ausencia,2024,Septiembre,4203,3927
Desfase,2016,Febrero,1186,3367
Punto Ciego,2024,Agosto,1345,3891
Después de Ti,2024,Marzo,397,1354
Marea Alta,2017,Abril,2692,1055
Desvelo II,2024,Septiembre,1653,4347
Desfase,2015,Diciembre,2590,731
Eco Final,2015,Diciembre,3314,4563
Marea Alta,2018,Febrero,4656,4380
Noches de Neón,2021,Marzo,3084,4052
Mil Vidas,2020,Septiembre,3890,3982
Voces,2020,Enero,2720,1033
Sombras del Ayer,2019,Julio,1703,1979
Reinicio,2016,Diciembre,4008,2842
Instinto,2024,Septiembre,4235,3785
Retroceso,2025,Marzo,4840,3775
Distancia,2020,Mayo,384,4327
Sin Mirar Atrás,2021,Octubre,4473,413
Horizonte,2021,Febrero,4393,1296
Noches de Neón,2020,Agosto,56,1353
Retroceso,2018,Noviembre,307,3615
Equilibrio,2017,Marzo,3705,1063
Lluvia de Estrellas,2017,Enero,4317,3101
Antes del Silencio,2024,Septiembre,1261,216
A Media Luz,2017,Enero,1201,4542
Voces,2022,Febrero,349,2805
Distancia,2025,Mayo,1013,4909
Oscuridad Total,2015,Abril,4529,3157
Desfase,2023,Febrero,1825,4485
Fragmentos,2019,Febrero,4797,2062
Horizonte,2024,Septiembre,4045,1141
Colisión,2024,Enero,2855,3750
Vértice,2018,Julio,4635,1988
Reinicio,2019,Enero,105,2300
Despierto,2019,Enero,3034,4081
Lento Adiós,2020,Enero,4574,4520
Al Límite,2024,Diciembre,3575,4686
Latente,2023,Abril,2641,1803
Recuerdos,2019,Agosto,1994,2125
Caos,2024,Abril,3025,783
Instante,2021,Enero,422,1051
Intermitente,2025,Mayo,1341,1597
Marea Alta,2025,Junio,4902,4764
Intermitente,2017,Abril,3208,3830
Horizonte Rojo,2023,Septiembre,2242,2740
Cicatrices,2016,Julio,278,4418
Desconexión,2023,Febrero,675,4594
Vértigo,2016,Noviembre,237,420
